Date,BRCATL
07/31/97,24.69
08/29/97,24.13
09/30/97,24.08
10/31/97,25.13
11/28/97,24.17
12/31/97,24.33
01/30/98,23.25
02/27/98,23.55
03/31/98,23.59
04/30/98,23.49
05/29/98,22.54
06/30/98,22.74
07/31/98,23.69
08/31/98,23.96
09/30/98,24.03
10/30/98,23.24
11/30/98,23.8
12/31/98,23.42
01/29/99,14.95
02/26/99,15.32
03/31/99,18.29
04/30/99,18.33
05/31/99,17.24
06/30/99,17.74
07/30/99,18.33
08/31/99,17.18
09/30/99,20.15
10/29/99,21.13
11/30/99,20.96
12/31/99,22.54
01/31/00,22.84
02/29/00,20.89
03/31/00,22.34
04/28/00,20.73
05/31/00,20.12
06/30/00,22.15
07/31/00,23.43
08/31/00,22.58
09/29/00,22.83
10/31/00,22.28
11/30/00,21.05
12/29/00,20.94
01/31/01,20.35
02/28/01,19.62
03/30/01,18.75
04/30/01,18.94
05/31/01,17.31
06/29/01,17.68
07/31/01,17.18
08/31/01,16.43
09/28/01,16.92
10/31/01,17.45
11/30/01,18.72
12/31/01,19.96
01/31/02,18.88
02/28/02,19.43
03/29/02,18.57
04/30/02,17.21
05/31/02,16.97
06/28/02,15.08
07/31/02,13.36
08/30/02,16.68
09/30/02,13.52
10/31/02,15.64
11/29/02,15.32
12/31/02,16.4
01/31/03,16.37
02/28/03,15.92
03/31/03,16.65
04/30/03,18.31
05/30/03,17.49
06/30/03,19.08
07/31/03,18.59
08/29/03,19.66
09/30/03,20.39
10/31/03,20.92
11/28/03,20.4
12/31/03,20.8
01/30/04,20.16
02/27/04,20.06
03/31/04,19.98
04/30/04,20.01
05/31/04,18.86
06/30/04,19.4
07/30/04,20.18
08/31/04,20.9
09/30/04,20.55
10/29/04,21.24
11/30/04,23.06
12/31/04,22.82
01/31/05,22.33
02/28/05,22.54
03/31/05,21.15
04/29/05,21.45
05/31/05,22.35
06/30/05,22.9
07/29/05,21.87
08/31/05,20.96
09/30/05,23.74
10/31/05,24.12
11/30/05,24.3
12/30/05,22.35
01/31/06,22.31
02/28/06,23.42
03/31/06,22.62
04/28/06,23.94
05/31/06,20.99
06/30/06,22.53
07/31/06,24.92
08/31/06,26.45
09/29/06,28.37
10/31/06,27.21
11/30/06,24.3
12/29/06,24.72
01/31/07,25.44
02/28/07,26.41
03/30/07,27.15
04/30/07,27.12
05/31/07,28.79
06/29/07,31.33
07/31/07,33.44
08/31/07,32.35
09/28/07,33.4
10/31/07,38.44
11/30/07,42.92
12/31/07,40.42
01/31/08,42.3
02/29/08,44.64
03/31/08,43.84
04/30/08,46.63
05/30/08,52.07
06/30/08,58.83
07/31/08,59.9
08/29/08,55.33
09/30/08,47.69
10/31/08,40.73
11/28/08,37.68
12/31/08,36.64
01/30/09,36.24
02/27/09,33.69
03/31/09,33.98
04/30/09,36
05/29/09,41.55
06/30/09,41.76
07/31/09,43.09
08/31/09,40.41
09/30/09,44.92
10/30/09,42.8
11/30/09,41.07
12/31/09,44.19
01/29/10,40.51
02/26/10,42.9
03/31/10,46.04
04/30/10,46.59
05/31/10,44.93
06/30/10,46.6
07/30/10,48.99
08/31/10,52.52
09/30/10,55.61
10/29/10,66.46
11/30/10,61.45
12/31/10,62.94
01/31/11,61.44
02/28/11,63.36
03/31/11,64.18
04/29/11,65.62
05/31/11,62.41
06/30/11,61.75
07/29/11,65.88
08/31/11,62.77
09/30/11,52.79
10/31/11,59.82
11/30/11,57.83
12/30/11,54.34
01/31/12,56.61
02/29/12,56.06
03/30/12,51.95
04/30/12,49.27
05/31/12,46.04
06/29/12,46.12
07/31/12,43.89
08/31/12,46.47
09/28/12,47.31
10/31/12,47.89
11/30/12,45.33
12/31/12,47.31
01/31/13,49.19
02/28/13,49.34
03/29/13,49.11
04/30/13,49.59
05/31/13,45.78
06/28/13,45.04
07/31/13,44.8
08/30/13,43.42
09/30/13,49.73
10/31/13,48.29
11/29/13,46.91
12/31/13,48.71
01/31/14,47.59
02/28/14,51.42
03/31/14,55.53
04/30/14,55.49
05/30/14,53.95
06/30/14,54.77
07/31/14,52.41
08/29/14,56.99
09/30/14,52.74
10/31/14,56.71
11/28/14,56.57
12/31/14,54.14
01/30/15,53.42
02/27/15,50.55
03/31/15,46.13
04/30/15,49.53
05/29/15,45.99
06/30/15,46.21
07/31/15,41.38
08/31/15,39.27
09/30/15,36.4
10/30/15,38.37
11/30/15,38.15
12/31/15,37.67
01/29/16,37.82
02/29/16,39.02
03/31/16,43.83
04/29/16,44.97
05/31/16,42.77
06/30/16,48.4
07/29/16,47.4
08/31/16,46.12
09/30/16,46.57
10/31/16,47.29
11/30/16,44.26
12/30/16,46
